Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Atlanta Hawks,89,Milwaukee Bucks,118,Home,1984,Milwaukee Bucks
New York Knicks,127,Detroit Pistons,123,Away,1984,New York Knicks
Dallas Mavericks,91,Los Angeles Lakers,134,Home,1984,Los Angeles Lakers
Phoenix Suns,95,Utah Jazz,105,Home,1984,Utah Jazz
New Jersey Nets,106,Milwaukee Bucks,100,Away,1984,New Jersey Nets
New York Knicks,92,Boston Celtics,110,Home,1984,Boston Celtics
Dallas Mavericks,101,Los Angeles Lakers,117,Home,1984,Los Angeles Lakers
New Jersey Nets,94,Milwaukee Bucks,98,Home,1984,Milwaukee Bucks
New York Knicks,102,Boston Celtics,116,Home,1984,Boston Celtics
Phoenix Suns,102,Utah Jazz,97,Away,1984,Phoenix Suns
Milwaukee Bucks,100,New Jersey Nets,93,Away,1984,Milwaukee Bucks
Los Angeles Lakers,115,Dallas Mavericks,125,Home,1984,Dallas Mavericks
Boston Celtics,92,New York Knicks,100,Home,1984,New York Knicks
Utah Jazz,94,Phoenix Suns,106,Home,1984,Phoenix Suns
Milwaukee Bucks,99,New Jersey Nets,106,Home,1984,New Jersey Nets
Boston Celtics,113,New York Knicks,118,Home,1984,New York Knicks
Utah Jazz,110,Phoenix Suns,111,Home,1984,Phoenix Suns
Los Angeles Lakers,122,Dallas Mavericks,115,Away,1984,Los Angeles Lakers
Dallas Mavericks,99,Los Angeles Lakers,115,Home,1984,Los Angeles Lakers
New Jersey Nets,82,Milwaukee Bucks,94,Home,1984,Milwaukee Bucks
Phoenix Suns,106,Utah Jazz,118,Home,1984,Utah Jazz
New York Knicks,99,Boston Celtics,121,Home,1984,Boston Celtics
Milwaukee Bucks,98,New Jersey Nets,97,Away,1984,Milwaukee Bucks
Utah Jazz,82,Phoenix Suns,102,Home,1984,Phoenix Suns
Boston Celtics,104,New York Knicks,106,Home,1984,New York Knicks
Phoenix Suns,94,Los Angeles Lakers,110,Home,1984,Los Angeles Lakers
New York Knicks,104,Boston Celtics,121,Home,1984,Boston Celtics
Milwaukee Bucks,96,Boston Celtics,119,Home,1984,Boston Celtics
Phoenix Suns,102,Los Angeles Lakers,118,Home,1984,Los Angeles Lakers
Milwaukee Bucks,110,Boston Celtics,125,Home,1984,Boston Celtics
Los Angeles Lakers,127,Phoenix Suns,135,Home,1984,Phoenix Suns
Boston Celtics,109,Milwaukee Bucks,100,Away,1984,Boston Celtics
Los Angeles Lakers,126,Phoenix Suns,115,Away,1984,Los Angeles Lakers
Boston Celtics,113,Milwaukee Bucks,122,Home,1984,Milwaukee Bucks
Milwaukee Bucks,108,Boston Celtics,115,Home,1984,Boston Celtics
Phoenix Suns,126,Los Angeles Lakers,121,Away,1984,Phoenix Suns
Los Angeles Lakers,99,Phoenix Suns,97,Away,1984,Los Angeles Lakers
Los Angeles Lakers,115,Boston Celtics,109,Away,1984,Los Angeles Lakers
Los Angeles Lakers,121,Boston Celtics,124,Home,1984,Boston Celtics
Boston Celtics,104,Los Angeles Lakers,137,Home,1984,Los Angeles Lakers
Boston Celtics,129,Los Angeles Lakers,125,Away,1984,Boston Celtics
Los Angeles Lakers,103,Boston Celtics,121,Home,1984,Boston Celtics
Boston Celtics,108,Los Angeles Lakers,119,Home,1984,Los Angeles Lakers
Los Angeles Lakers,102,Boston Celtics,111,Home,1984,Boston Celtics
Washington Bullets,97,Philadelphia 76ers,104,Home,1985,Philadelphia 76ers
Cleveland Cavaliers,123,Boston Celtics,126,Home,1985,Boston Celtics
